,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
804, X3,2019,39500.0,Semi-Auto,1704.0,Diesel,145.0,54.3,2.0
805, X3,2019,39500.0,Semi-Auto,105.0,Diesel,145.0,54.3,2.0
806, X3,2019,36900.0,Semi-Auto,2367.0,Diesel,145.0,54.3,2.0
807, X2,2018,23900.0,Semi-Auto,3391.0,Diesel,145.0,61.4,2.0
808, 3 Series,2018,20000.0,Semi-Auto,17892.0,Diesel,145.0,60.1,2.0
813, X1,2017,21998.0,Semi-Auto,5020.0,Diesel,145.0,60.1,2.0
817, 5 Series,2019,29000.0,Semi-Auto,4727.0,Diesel,145.0,62.8,2.0
818, 3 Series,2019,32990.0,Semi-Auto,5400.0,Diesel,145.0,49.6,2.0
819, 3 Series,2019,30000.0,Manual,5385.0,Diesel,145.0,54.3,2.0
821, 3 Series,2019,35000.0,Semi-Auto,7685.0,Diesel,145.0,48.7,2.0
822, 1 Series,2017,14898.0,Manual,28133.0,Diesel,145.0,65.7,2.0
823, 5 Series,2019,29998.0,Semi-Auto,5000.0,Diesel,145.0,62.8,2.0
824, 4 Series,2019,28898.0,Semi-Auto,5000.0,Petrol,145.0,48.7,2.0
825, 3 Series,2019,26498.0,Semi-Auto,16151.0,Diesel,145.0,48.7,2.0
828, X2,2018,22898.0,Semi-Auto,21150.0,Petrol,145.0,38.7,2.0
830, X1,2017,19498.0,Automatic,27490.0,Diesel,145.0,57.6,2.0
831, 5 Series,2019,29898.0,Semi-Auto,7730.0,Diesel,145.0,60.1,2.0
833, 3 Series,2019,29998.0,Manual,5000.0,Diesel,145.0,54.3,2.0
834, 3 Series,2018,21898.0,Semi-Auto,6425.0,Petrol,145.0,48.7,2.0
836, 3 Series,2019,23898.0,Automatic,11603.0,Diesel,145.0,52.3,2.0
837, 1 Series,2019,19598.0,Semi-Auto,11308.0,Diesel,145.0,67.3,2.0
838, 1 Series,2019,18998.0,Semi-Auto,10974.0,Diesel,145.0,48.7,2.0
842, 1 Series,2019,33500.0,Semi-Auto,5354.0,Diesel,145.0,48.7,2.0
845, 5 Series,2019,25500.0,Automatic,1032.0,Diesel,145.0,65.7,2.0
846, X2,2018,23750.0,Semi-Auto,15093.0,Diesel,145.0,58.9,2.0
847, 3 Series,2019,26390.0,Semi-Auto,5288.0,Diesel,145.0,57.7,2.0
848, 4 Series,2019,25000.0,Semi-Auto,10996.0,Diesel,145.0,60.1,2.0
852, X2,2019,23000.0,Semi-Auto,929.0,Petrol,145.0,40.4,2.0
853, 3 Series,2017,19990.0,Semi-Auto,25212.0,Diesel,145.0,62.8,2.0
855, 4 Series,2019,27000.0,Semi-Auto,1400.0,Diesel,145.0,65.7,2.0
856, 1 Series,2019,34990.0,Semi-Auto,4020.0,Diesel,145.0,48.7,2.0
857, X1,2019,28500.0,Manual,105.0,Diesel,145.0,68.9,2.0
858, X1,2019,31490.0,Manual,105.0,Diesel,145.0,60.1,2.0
859, X1,2019,30900.0,Semi-Auto,678.0,Diesel,145.0,65.7,2.0
864, X4,2018,34000.0,Semi-Auto,935.0,Diesel,145.0,42.8,2.0
867, X3,2016,21000.0,Semi-Auto,15989.0,Diesel,145.0,54.3,2.0
868, X3,2016,19490.0,Semi-Auto,43688.0,Diesel,145.0,54.3,2.0
872, X3,2017,24500.0,Semi-Auto,12674.0,Diesel,145.0,54.3,2.0
873, 2 Series,2019,22500.0,Semi-Auto,5058.0,Petrol,145.0,50.4,2.0
888, 5 Series,2019,30000.0,Semi-Auto,5479.0,Petrol,145.0,50.4,2.0
889, 5 Series,2019,36500.0,Semi-Auto,4971.0,Diesel,145.0,55.4,2.0
891, 3 Series,2019,32990.0,Semi-Auto,9503.0,Diesel,145.0,49.6,2.0
898, X3,2019,33990.0,Semi-Auto,11.0,Diesel,145.0,54.3,2.0
900, 3 Series,2019,22000.0,Semi-Auto,10300.0,Diesel,145.0,55.4,2.0
902, 5 Series,2019,26000.0,Semi-Auto,12209.0,Diesel,145.0,62.8,2.0
903, 1 Series,2019,23000.0,Semi-Auto,1956.0,Diesel,145.0,60.1,2.0
904, 3 Series,2019,24898.0,Semi-Auto,13125.0,Diesel,145.0,52.3,2.0
911, 2 Series,2018,21498.0,Semi-Auto,1749.0,Diesel,145.0,47.1,2.0
914, 4 Series,2020,27490.0,Semi-Auto,100.0,Diesel,145.0,60.1,2.0
918, 2 Series,2017,16998.0,Semi-Auto,25544.0,Diesel,145.0,64.2,2.0
